日期,路线,距离(km),油耗(L/100km),柴油价格(元/L),价格变化(元/L),变化类型,单程用油(L),单程油费(元),每柜油费变化(元),历史最高油价(元/L),相比最高油价每柜节省(元)
2026-08-28 21:58:48,青岛港 → 郓城,509,35,7.79,0.43,上涨,178.15,1387.79,76.60,7.79,0.00
2026-08-29 01:01:36,青岛港 → 郓城,509,35,7.67,-0.12,下跌,178.15,1366.41,-21.38,7.79,21.38
